| No  | Kalimat Asli                                                                                                                                                               | Pertanyaan                                        | Pilihan Jawaban                                                   | Jawaban | Terjemahan Indonesia                                                                                                                                                                                          | Pertanyaan                                       | Pilihan Jawaban                                                   | Jawaban |
| 71  | I took the water bottle out of the backpack so that it would be handy.                                                                                                     | Snippet: it would be handy                        | A. The water bottle; B. The backpack                              | A       | Saya mengeluarkan botol air dari ransel agar itu lebih mudah.                                                                                                                                                 | itu lebih mudah                                  | A. Botol minum; B. Tas                                            | A       |
| 72  | I took the water bottle out of the backpack so that it would be lighter.                                                                                                   | Snippet: it would be lighter                      | A. The water bottle; B. The backpack                              | B       | Saya mengeluarkan botol air dari ransel agar itu lebih ringan.                                                                                                                                                | itu lebih ringan                                 | A. Botol minum; B. Tas                                            | B       |
| 73  | I couldn't put the pot on the shelf because it was too tall.                                                                                                               | Snippet: it was too tall.                         | A. The pot; B. The shelf                                          | A       | Saya tidak bisa menaruh pot di rak karena itu terlalu tinggi.                                                                                                                                                 | itu terlalu tinggi                               | A. Pot; B. Rak                                                    | A       |
| 74  | I couldn't put the pot on the shelf because it was too high.                                                                                                               | Snippet: it was too high.                         | A. The pot; B. The shelf                                          | B       | Saya tidak bisa menaruh pot di rak karena itu terlalu tinggi.                                                                                                                                                 | itu terlalu tinggi                               | A. Pot; B. Rak                                                    | B       |
| 75  | I'm sure that my map will show this building; it is very good.                                                                                                             | Snippet: it is very good                          | A. The map; B. The building                                       | A       | Saya yakin peta saya akan menunjukkan bangunan ini; itu sangat bagus.                                                                                                                                         | itu sangat bagus                                 | A. Peta; B. Bangunan                                              | A       |
| 76  | I'm sure that my map will show this building; it is very famous.                                                                                                           | Snippet: it is very famous                        | A. The map; B. The building                                       | B       | Saya yakin peta saya akan menunjukkan bangunan ini; itu sangat terkenal.                                                                                                                                      | itu sangat terkenal                              | A. Peta; B. Bangunan                                              | B       |
| 77  | Bob paid for Charlie's college education. He is very generous.                                                                                                             | Snippet: He is very generous.                     | A. Bob; B. Charlie                                                | A       | Bob membiayai pendidikan perguruan tinggi Charlie. Dia sangat berbaik hati.                                                                                                                                   | Dia sangat berbaik hati                          | A. Bob; B. Charlie                                                | A       |
| 78  | Bob paid for Charlie's college education. He is very grateful.                                                                                                             | Snippet: He is very grateful.                     | A. Bob; B. Charlie                                                | B       | Bob membiayai pendidikan perguruan tinggi Charlie. Dia sangat berterima kasih.                                                                                                                                | Dia sangat berterima kasih                       | A. Bob; B. Charlie                                                | B       |
| 79  | Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very hurt.                                                               | Snippet: He is very hurt.                         | A. Bob; B. Charlie                                                | A       | Bob membiayai pendidikan perguruan tinggi Charlie, tapi sekarang Charlie bertindak seolah-olah hal itu tidak pernah terjadi. Dia sangat tersakiti.                                                            | Dia sangat tersakiti                             | A. Bob; B. Charlie                                                | A       |
| 80  | Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.                                                         | Snippet: He is very ungrateful.                   | A. Bob; B. Charlie                                                | B       | Bob membiayai pendidikan perguruan tinggi Charlie, tapi sekarang Charlie bertindak seolah-olah hal itu tidak pernah terjadi. Dia sangat tidak berterima kasih.                                                | Dia sangat tidak berterima kasih                 | A. Bob; B. Charlie                                                | B       |
| 81  | Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.                                                        | Snippet: he would have won.                       | A. Bob; B. Adam                                                   | A       | Bob sedang bermain kartu dengan Adam dan berada jauh di depan. Jika Adam tidak mendapat keberuntungan secara tiba-tiba, dia akan menang.                                                                      | dia akan menang                                  | A. Bob; B. Adam                                                   | A       |
| 82  | Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.                                                       | Snippet: he would have lost.                      | A. Bob; B. Adam                                                   | B       | Bob sedang bermain kartu dengan Adam dan berada jauh di depan. Jika Adam tidak mendapat keberuntungan secara tiba-tiba, dia akan kalah.                                                                       | dia akan kalah                                   | A. Bob; B. Adam                                                   | B       |
| 83  | Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.                                         | Snippet: he would be gone                         | A. Adam; B. Bob                                                   | A       | Adam tidak bisa meninggalkan pekerjaannya di sini sampai Bob datang menggantikannya. Jika Bob meninggalkan rumah untuk berangkat kerja tepat waktu, dia sudah pergi dari sini pada saat itu.                  | dia sudah pergi                                  | A. Adam; B. Bob                                                   | A       |
| 84  | Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.                                         | Snippet: he would be here                         | A. Adam; B. Bob                                                   | B       | Adam tidak bisa meninggalkan pekerjaannya di sini sampai Bob datang menggantikannya. Jika Bob meninggalkan rumah untuk berangkat kerja tepat waktu, dia akan tiba di sini pada saat itu.                      | dia akan tiba                                    | A. Adam; B. Bob                                                   | B       |
| 85  | If the con artist has succeeded in fooling Sam, he would have gotten a lot of money.                                                                                       | Snippet: he would have gotten a lot of money.     | A. The con artist; B. Sam                                         | A       | Jika penipu berhasil membodohi Sam, ia akan mendapatkan banyak uang.                                                                                                                                          | ia akan mendapatkan banyak uang                  | A. Penipu; B. Sam                                                 | A       |
| 86  | If the con artist has succeeded in fooling Sam, he would have lost a lot of money.                                                                                         | Snippet: he would have lost a lot of money.       | A. The con artist; B. Sam                                         | B       | Jika penipu berhasil membodohi Sam, ia akan kehilangan banyak uang.                                                                                                                                           | ia akan kehilangan banyak uang                   | A. Penipu; B. Sam                                                 | B       |
| 87  | It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.<br><br><br> | Snippet: it was hot                               | A. The dog; B. The spot under the tree                            | A       | Saat itu suatu sore di musim panas, dan anjing itu sedang duduk di tengah halaman. Beberapa saat kemudian, ia bangkit dan berpindah ke suatu tempat di bawah pohon, karena cuacanya lebih panas.              | cuacanya lebih panas                             | A. Anjing; B. Tempat di bawah pohon                               | A       |
| 88  | It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.          | Snippet: it was cooler                            | A. The dog; B. The spot under the tree                            | B       | Saat itu suatu sore di musim panas, dan anjing itu sedang duduk di tengah halaman. Beberapa saat kemudian, ia bangkit dan berpindah ke suatu tempat di bawah pohon, karena cuacanya lebih sejuk.              | cuacanya lebih sejuk                             | A. Anjing; B. Tempat di bawah pohon                               | B       |
| 89  | The cat was lying by the mouse hole waiting for the mouse, but it was too impatient.                                                                                       | Snippet: it was too impatient.                    | A. The cat; B. The mouse                                          | A       | Kucing itu berbaring di dekat lubang tikus menunggu tikus, tapi ia terlalu tidak sabar.                                                                                                                       | ia terlalu tidak sabar.                          | A. Kucing; B. Tikus                                               | A       |
| 90  | The cat was lying by the mouse hole waiting for the mouse, but it was too cautious.                                                                                        | Snippet: it was too cautious.                     | A. The cat; B. The mouse                                          | B       | Kucing itu berbaring di dekat lubang tikus menunggu tikus, tapi ia terlalu berhati-hati.                                                                                                                      | ia terlalu berhati-hati                          | A. Kucing; B. Tikus                                               | B       |
| 91  | Anne gave birth to a daughter last month. She is a very charming woman.                                                                                                    | Snippet: She is a very charming woman.            | A. Anne; B. Anne'a daughter                                       | A       | Anne melahirkan seorang putri bulan lalu. Dia adalah wanita yang sangat menawan.                                                                                                                              | Dia adalah wanita yang sangat menawan            | A. Anne; B. Anak Anne                                             | A       |
| 92  | Anne gave birth to a daughter last month. She is a very charming baby.                                                                                                     | Snippet: She is a very charming baby.             | A. Anne; B. Anne'a daughter                                       | B       | Anne melahirkan seorang putri bulan lalu. Dia adalah bayi yang sangat menawan.                                                                                                                                | Dia adalah bayi yang sangat menawan              | A. Anne; B. Anak Anne                                             | B       |
| 93  | Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.                                           | Snippet: she was behaving so strangely.           | A. Alice; B. Alice's daughter                                     | A       | Alice dengan panik berusaha menghentikan putrinya mengobrol di pesta, membuat kami bertanya-tanya mengapa dia berperilaku begitu aneh.                                                                        | dia berperilaku begitu aneh                      | A. Alice; B. Anak Alice                                           | A       |
| 94  | Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she was behaving so strangely.                                            | Snippet: she was behaving so strangely.           | A. Alice; B. Alice's daughter                                     | B       | Alice dengan panik berusaha menghentikan putrinya agar tidak menggonggong di pesta, membuat kami bertanya-tanya mengapa dia berperilaku begitu aneh.                                                          | dia berperilaku begitu aneh                      | A. Alice; B. Anak Alice                                           | B       |
| 95  | I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.                                            | Snippet: why he was                               | A. Jim; B. the guy in uniform                                     | A       | Saya melihat Jim meneriaki seorang pria berseragam militer dengan janggut merah besar. Saya tidak tahu dia mengapa, tapi dia terlihat sangat tidak bahagia.                                                   | dia mengapa                                      | A. Jim; B. pria berseragam                                        | A       |
| 96  | I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.                                            | Snippet: who he was                               | A. Jim; B. the guy in uniform                                     | B       | Saya melihat Jim meneriaki seorang pria berseragam militer dengan janggut merah besar. Saya tidak tahu siapa dia, tapi dia terlihat sangat tidak bahagia.                                                     | siapa dia                                        | A. Jim; B. pria berseragam                                        | B       |
| 97  | The fish ate the worm. It was hungry.                                                                                                                                      | Snippet: It was hungry.                           | A. The fish; B. The worm                                          | A       | Ikan itu memakan cacing itu. Dia lapar.                                                                                                                                                                       | Dia lapar                                        | A. Ikan; B. Cacing                                                | A       |
| 98  | The fish ate the worm. It was tasty.                                                                                                                                       | Snippet: It was tasty.                            | A. The fish; B. The worm                                          | B       | Ikan itu memakan cacing itu. Dia enak.                                                                                                                                                                        | Dia enak                                         | A. Ikan; B. Cacing                                                | B       |
| 99  | I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it in.                                                 | Snippet: I couldn't get it in.                    | A. The key; B. The chewing gum                                    | A       | Saya mencoba membuka gembok dengan kunci, namun seseorang telah mengisi lubang kunci dengan permen karet, dan saya tidak dapat memasukannya.                                                                  | saya tidak dapat memasukannya                    | A. Kunci; B. Permen karet                                         | A       |
| 100 | I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it out.                                                | Snippet: I couldn't get it out.                   | A. The key; B. The chewing gum                                    | B       | Saya mencoba membuka gembok dengan kunci, namun seseorang telah mengisi lubang kunci dengan permen karet, dan saya tidak dapat mengeluarkannya.                                                               | saya tidak dapat mengeluarkannya                 | A. Kunci; B. Permen karet                                         | B       |
| 101 | The dog chased the cat, which ran up a tree. It waited at the bottom.                                                                                                      | Snippet: It waited                                | A. The dog; B. The cat                                            | A       | Anjing itu mengejar kucing yang berlari ke atas pohon. Itu menunggu di bawah.                                                                                                                                 | Itu menunggu                                     | A. Anjing; B. Kucing                                              | A       |
| 102 | The dog chased the cat, which ran up a tree. It waited at the top.                                                                                                         | Snippet: It waited                                | A. The dog; B. The cat                                            | B       | Anjing itu mengejar kucing yang berlari ke atas pohon. Itu menunggu di atas.                                                                                                                                  | Itu menunggu                                     | A. Anjing; B. Kucing                                              | B       |
| 103 | In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.                                                                  | Snippet: get it removed.                          | A. The tree; B. The roof                                          | A       | Di tengah badai, pohon itu tumbang dan menembus atap rumah saya. Sekarang, saya harus membersihkannya.                                                                                                        | membersihkannya                                  | A. Pohon; B. Atap                                                 | A       |
| 104 | In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.                                                                 | Snippet: get it repaired.                         | A. The tree; B. The roof                                          | B       | Di tengah badai, pohon itu tumbang dan menembus atap rumah saya. Sekarang, saya harus memperbaikinya.                                                                                                         | memperbaikinya                                   | A. Pohon; B. Atap                                                 | B       |
| 105 | The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the police station.                                                          | Snippet: He was immediately taken                 | A. The customer; B. The teller                                    | A       | Nasabah masuk ke bank dan menikam salah satu teller. Dia langsung dibawa ke kantor polisi.                                                                                                                    | Dia langsung dibawa                              | A. Pelanggan; B. Teller                                           | A       |
| 106 | The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.                                                                | Snippet: He was immediately taken                 | A. The customer; B. The teller                                    | B       | Nasabah masuk ke bank dan menikam salah satu teller. Dia langsung dibawa ke rumah sakit.                                                                                                                      | Dia langsung dibawa                              | A. Pelanggan; B. Teller                                           | B       |
| 107 | John was doing research in the library when he heard a man humming and whistling. He was very annoyed.                                                                     | Snippet: He was very annoyed.                     | A. John; B. The man                                               | A       | John sedang melakukan penelitian di perpustakaan ketika dia mendengar seorang pria bersenandung dan bersiul. Dia sangat terganggu.                                                                            | Dia sangat terganggu.                            | A. John; B. Pria                                                  | A       |
| 108 | John was doing research in the library when he heard a man humming and whistling. He was very annoying.                                                                    | Snippet: He was very annoying.                    | A. John; B. The man                                               | B       | John sedang melakukan penelitian di perpustakaan ketika dia mendengar seorang pria bersenandung dan bersiul. Dia sangat menyebalkan.                                                                          | Dia sangat menyebalkan.                          | A. John; B. Pria                                                  | B       |
| 109 | John was jogging through the park when he saw a man juggling watermelons. He was very impressed.                                                                           | Snippet: He was very impressed.                   | A. John; B. The juggler                                           | A       | John sedang jogging di taman ketika dia melihat seorang pria sedang menyulap semangka. Dia sangat terkesan.                                                                                                   | Dia sangat terkesan                              | A. John; B. Penghibur                                             | A       |
| 110 | John was jogging through the park when he saw a man juggling watermelons. He was very impressing.                                                                          | Snippet: He was very impressing.                  | A. John; B. The juggler                                           | B       | John sedang jogging di taman ketika dia melihat seorang pria sedang menyulap semangka. Dia sangat mengesankan.                                                                                                | Dia sangat mengesankan                           | A. John; B. Penghibur                                             | B       |
| 111 | Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.                                                                                           | Snippet: He was very ill                          | A. Bob; B. Carl                                                   | A       | Bob ambruk di trotoar. Segera dia melihat Carl datang untuk membantu. Dia sangat sakit.                                                                                                                       | Dia sangat sakit                                 | A. Bob; B. Carl                                                   | A       |
| 112 | Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.                                                                                     | Snippet: He was very concerned                    | A. Bob; B. Carl                                                   | B       | Bob ambruk di trotoar. Segera dia melihat Carl datang untuk membantu. Dia sangat prihatin.                                                                                                                    | Dia sangat prihatin                              | A. Bob; B. Carl                                                   | B       |
| 113 | Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.                                                                    | Snippet: they are fifteen.                        | A. Sam and Amy; B. Amy's parents                                  | A       | Sam dan Amy saling jatuh cinta, namun orang tua Amy tidak senang dengan hal tersebut, karena mereka 15 tahun.                                                                                                 | mereka 15 tahun                                  | A. Sam and Amy; B. Orang tua Amy                                  | A       |
| 114 | Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.                                                                      | Snippet: they are snobs.                          | A. Sam and Amy; B. Amy's parents                                  | B       | Sam dan Amy saling jatuh cinta, namun orang tua Amy tidak senang dengan hal tersebut, karena mereka sombong.                                                                                                  | mereka sombong                                   | A. Sam and Amy; B. Orang tua Amy                                  | B       |
| 115 | Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.                                                                | Snippet: He should have been more truthful.       | A. Mark; B. Pete                                                  | A       | Mark menceritakan banyak kebohongan kepada Pete tentang dirinya, yang dimasukkan Pete ke dalam bukunya. Dia seharusnya lebih jujur.                                                                           | Dia seharusnya lebih jujur                       | A. Mark; B. Pete                                                  | A       |
| 116 | Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.                                                               | Snippet: He should have been more skeptical.      | A. Mark; B. Pete                                                  | B       | Mark menceritakan banyak kebohongan kepada Pete tentang dirinya, yang dimasukkan Pete ke dalam bukunya. Dia seharusnya lebih skeptis.                                                                         | Dia seharusnya lebih skeptis                     | A. Mark; B. Pete                                                  | B       |
| 117 | Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.                                                                     | Snippet: moving out of it                         | A. The old house; B. The new house                                | A       | Joe telah menjual rumahnya dan membeli yang baru beberapa mil jauhnya. Dia akan keluar dari sana pada hari Kamis.                                                                                             | keluar dari sana                                 | A. Rumah lama; B. Rumah baru                                      | A       |
| 118 | Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.                                                                       | Snippet: moving into it                           | A. The old house; B. The new house                                | B       | Joe telah menjual rumahnya dan membeli yang baru beberapa mil jauhnya. Dia akan pindah ke sana pada hari Kamis.                                                                                               | pindah ke sana                                   | A. Rumah lama; B. Rumah baru                                      | B       |
| 119 | Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.                                                              | Snippet: They are gripped                         | A. People; B. Paul's books                                        | A       | Banyak orang mulai membaca buku-buku Paul dan tidak dapat meletakkannya. Mereka tercengang karena Paul menulis dengan sangat baik.                                                                            | mereka tercengang                                | A. banyak orang; B. Buku milik Paul                               | A       |
| 120 | Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.                                                              | Snippet: They are popular                         | A. People; B. Paul's books                                        | B       | Banyak orang mulai membaca buku-buku Paul dan tidak dapat meletakkannya. Mereka populer karena Paul menulis dengan sangat baik.                                                                               | mereka populer                                   | A. banyak orang; B. Buku milik Paul                               | B       |
| 121 | Mary took out her flute and played one of her favorite pieces. She has had it since she was a child.                                                                       | Snippet: She has had it                           | A. The flute; B. The piece                                        | A       | Mary mengeluarkan serulingnya dan memainkan salah satu lagu favoritnya. Dia memilikinya sejak dia masih kecil.                                                                                                | Dia memilikinya                                  |                                                                   | A       |
| 122 | Mary took out her flute and played one of her favorite pieces. She has loved it since she was a child.                                                                     | Snippet: She has loved it                         | A. The flute; B. The piece                                        | B       | Mary mengeluarkan serulingnya dan memainkan salah satu lagu favoritnya. Dia menyukainya sejak dia masih kecil.                                                                                                | Dia menyukainya                                  |                                                                   | B       |
| 123 | Sam pulled up a chair to the piano, but it was broken, so he had to stand instead                                                                                          | Snippet: it was broken                            | A. The chair; B. The piano                                        | A       | Sam menarik kursi ke arah piano, tapi itu rusak, jadi dia malah harus berdiri                                                                                                                                 | itu rusak                                        | A. Kursi; B. Piano                                                | A       |
| 124 | Sam pulled up a chair to the piano, but it was broken, so he had to sing instead                                                                                           | Snippet: it was broken                            | A. The chair; B. The piano                                        | B       | Sam menarik kursi ke arah piano, tapi itu rusak, jadi dia malah harus bernyanyi                                                                                                                               | itu rusak                                        | A. Kursi; B. Piano                                                | B       |
| 125 | Since it was raining, I carried the newspaper in my backpack to keep it dry.                                                                                               | Snippet: keep it dry                              | A. The newspaper; B. The backpack                                 | A       | Karena saat itu sedang hujan, saya membawa koran tersebut ke dalam ransel agar itu tetap kering.                                                                                                              | agar itu tetap kering                            | A. Koran; B. Tas                                                  | A       |
| 126 | Since it was raining, I carried the newspaper over my backpack to keep it dry.                                                                                             | Snippet: keep it dry                              | A. The newspaper; B. The backpack                                 | B       | Karena saat itu sedang hujan, saya menaruh koran tersebut di atas ransel agar itu tetap kering.                                                                                                               | agar itu tetap kering                            | A. Koran; B. Tas                                                  | B       |
| 127 | Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.                                  | Snippet: She reads it                             | A. The book; B. The article                                       | A       | Sara meminjam buku itu dari perpustakaan karena dia membutuhkannya untuk artikel yang sedang dia kerjakan. Dia membacanya ketika dia pulang kerja.                                                            | Dia membacanya                                   | A. Buku; B. Artikel                                               | A       |
| 128 | Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.                                 | Snippet: She writes it                            | A. The book; B. The article                                       | B       | Sara meminjam buku itu dari perpustakaan karena dia membutuhkannya untuk artikel yang sedang dia kerjakan. Dia menulisnya ketika dia pulang kerja.                                                            | Dia menulisnya                                   | A. Buku; B. Artikel                                               | B       |
| 129 | This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked it down.                                 | Snippet: knocked it down                          | A. The sand castle; B. The flag                                   | A       | Pagi ini, Joey membangun istana pasir di tepi pantai, dan memasang bendera mainan di menara tertinggi, namun sore ini air pasang merobohkannya.                                                               | merobohkannya                                    | A. Istana Pasir; B. Bendera                                       | A       |
| 130 | This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the wind knocked it down.                                 | Snippet: knocked it down                          | A. The sand castle; B. The flag                                   | B       | Pagi ini, Joey membangun istana pasir di tepi pantai, dan memasang bendera mainan di menara tertinggi, namun sore ini angin merobohkannya.                                                                    | merobohkannya                                    | A. Istana Pasir; B. Bendera                                       | B       |
| 131 | Jane knocked on Susan's door, but there was no answer. She was disappointed.                                                                                               | Snippet: She was disappointed.                    | A. Jane; B. Susan                                                 | A       | Jane mengetuk pintu Susan, tapi tidak ada jawaban. Dia kecewa.                                                                                                                                                | Dia kecewa                                       | A. Jane; B. Susan                                                 | A       |
| 132 | Jane knocked on Susan's door, but there was no answer. She was out.                                                                                                        | Snippet: She was out.                             | A. Jane; B. Susan                                                 | B       | Jane mengetuk pintu Susan, tapi tidak ada jawaban. Dia sedang pergi.                                                                                                                                          | Dia sedang pergi                                 | A. Jane; B. Susan                                                 | B       |
| 133 | Jane knocked on the door, and Susan answered it. She invited her to come out.                                                                                              | Snippet: She invited                              | A. Jane; B. Susan                                                 | A       | Jane mengetuk pintu, dan Susan menjawabnya. Dia mengundangnya untuk keluar.                                                                                                                                   | Dia mengundangnya                                | A. Jane; B. Susan                                                 | A       |
| 134 | Jane knocked on the door, and Susan answered it. She invited her to come in.                                                                                               | Snippet: She invited                              | A. Jane; B. Susan                                                 | B       | Jane mengetuk pintu, dan Susan menjawabnya. Dia mengundangnya untuk masuk.                                                                                                                                    | Dia mengundangnya                                | A. Jane; B. Susan                                                 | B       |
| 135 | Sam took French classes from Adam, because he was eager to speak it fluently.<br>                                                                                          | Snippet: He was eager to speak it                 | A. Sam; B. Adam                                                   | A       | Sam mengambil kelas bahasa Prancis dari Adam, karena ia dikenal ingin bisa berbahasa Prancis.                                                                                                                 | ia dikenal ingin bisa berbahasa Prancis.         | A. Sam; B. Adam                                                   | A       |
| 136 | Sam took French classes from Adam, because he was known to speak it fluently.                                                                                              | Snippet: He was known to speak it                 | A. Sam; B. Adam                                                   | B       | Sam mengambil kelas bahasa Prancis dari Adam, karena ia dikenal fasih berbahasa Prancis.                                                                                                                      | ia dikenal fasih berbahasa Prancis               | A. Sam; B. Adam                                                   | B       |
| 137 | The path to the lake was blocked, so we couldn't use it.                                                                                                                   | Snippet: use it                                   | A. The path; B. The lake                                          | A       | Jalan menuju danau diblokir, jadi kami tidak bisa menggunakannya.                                                                                                                                             | menggunakannya                                   | A. Jalan; B. Danau                                                | A       |
| 138 | The path to the lake was blocked, so we couldn't reach it.                                                                                                                 | Snippet: reach it                                 | A. The path; B. The lake                                          | B       | Jalan menuju danau diblokir, jadi kami tidak bisa mencapainya.                                                                                                                                                | mencapainya                                      | A. Jalan; B. Danau                                                | B       |
| 139 | The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was out.                                                                 | Snippet: it was out                               | A. The sun; B. The cloud                                          | A       | Matahari tertutup awan tebal sepanjang pagi, tapi untungnya, saat piknik dimulai, itu sudah padam.                                                                                                            | itu sudah padam                                  | A. Matahari; B. Awan                                              | A       |
| 140 | The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was gone.                                                                | Snippet: it was gone                              | A. The sun; B. The cloud                                          | B       | Matahari tertutup awan tebal sepanjang pagi, tapi untungnya, saat piknik dimulai, itu sudah hilang.                                                                                                           | itu sudah hilang                                 | A. Matahari; B. Awan                                              | B       |
